file_path,genre,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29
data\blues\blues.00010.wav,blues,-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.2143745,-12.582618,5.8545594,-2.884673,-1.1866812,-1.9771541,1.8001548,-3.0044115,-1.8699358,-0.7962682,-3.0132642,-0.43592528,-2.00181,-0.7466386,-5.001238,-1.8160439,0.80674666,2.5055747,-1.6417369,-3.3359144,-0.13622111,4.4879503,8.8497095,9.319613,1.2971637
data\blues\blues.00011.wav,blues,-287.92355,123.97102,5.456122,33.684544,1.0892011,14.704721,-4.898606,8.653276,0.78279763,6.5667357,-4.87944,-3.1806588,-5.5570035,-6.786621,-2.644233,-2.9824314,-3.3811383,-1.8614974,1.8359203,-4.8965116,-5.5384836,-3.612521,-2.0601182,-6.517657,-6.8794336,-2.781112,1.6434358,-1.8873737,-4.67837,-3.3404355
data\blues\blues.00012.wav,blues,-207.20874,132.79709,-15.460706,60.99486,0.7102412,12.461279,1.1609277,-1.5278946,-17.901815,8.369234,-2.4538186,-0.5966886,0.36881655,2.6052277,-5.1930146,-9.530149,-9.2374,-2.8406758,-1.4114445,-5.931029,7.7731123,4.093114,4.058162,3.6514397,6.006844,0.41913077,2.0486271,1.4418106,6.510237,9.659197
data\blues\blues.00013.wav,blues,-209.7822,124.46592,10.285805,47.030174,6.4823856,15.417021,-2.0100777,6.735786,-21.54862,10.728498,-5.532432,-2.202038,-3.051727,8.644019,-0.31084567,-0.6361449,-2.9359381,-1.706597,-1.7654228,-7.755964,3.4221113,3.5782943,2.8118167,-0.6349814,3.5613987,-5.5300465,0.7484941,5.160498,8.532248,5.9606123
data\blues\blues.00014.wav,blues,-305.69858,113.041626,12.114901,45.039444,17.739239,14.59463,4.157129,0.24009794,-7.013088,13.649843,8.923058,1.3016899,5.9521284,8.542282,1.1171257,0.58821857,0.060077537,-3.706519,-1.001884,-1.8044139,4.964381,4.3411965,3.4257812,1.2855431,2.8854659,2.2391791,3.4702225,6.01861,7.758562,9.786685
data\blues\blues.00015.wav,blues,-238.53304,120.08829,-4.2245555,42.310043,5.9163294,13.914182,5.3575773,1.9037086,-16.92988,12.33931,3.9409604,-1.3906769,0.014792061,3.5804958,-4.5049934,-5.541951,-6.883077,-4.8263903,1.7385828,-1.8840166,6.89214,5.3051734,5.5378985,0.5503044,1.8520037,-0.08424163,4.2340255,4.3462486,5.9777203,6.7855787
data\blues\blues.00016.wav,blues,-233.79489,120.66705,-3.1675606,39.53927,3.858855,18.839672,-3.6889172,4.431845,-14.975374,17.571033,1.8447447,2.5386066,-1.2386856,8.439363,-0.20983854,-3.9067852,-4.478641,-0.012232187,1.293265,-2.0874293,6.7976127,0.5878199,1.6384307,-0.73331887,3.0821397,-1.9876028,3.6417997,3.6174347,3.635837,0.67341006
data\blues\blues.00017.wav,blues,-245.75414,140.48093,-2.771439,60.42012,18.9254,9.8371,3.566577,0.53618747,-16.367361,6.629854,7.269149,-4.015731,1.6074536,5.898682,-3.0176077,-4.7748995,-3.02707,-1.9985329,-0.058759093,-3.9718897,-0.40389112,1.9717704,0.46303442,-1.840758,2.7746994,0.6297253,1.4135932,4.837874,3.6356168,2.6676002
data\blues\blues.00018.wav,blues,-252.51877,104.93699,15.316828,42.67347,6.7626176,21.623577,-1.3132769,5.691933,-16.619516,12.161627,-1.96795,1.969765,-0.88895845,7.771046,2.3869514,1.7799876,1.3449866,3.6371126,4.9108076,-2.6554036,4.1091933,2.1986363,2.5341144,-1.63606,2.8631232,-3.0687807,0.24864915,0.56624717,4.8132,3.655196
data\blues\blues.00019.wav,blues,-236.6889,138.40428,-4.923575,47.647713,5.152376,8.895284,0.4828563,-3.801668,-14.974891,10.432587,-0.3539616,0.7883455,1.7829305,4.230211,-0.47101694,-6.1056542,-5.387077,-1.3430606,-3.7227933,-4.3624997,4.546531,0.07600391,5.449177,3.7077432,1.9497089,0.32246375,4.9483986,2.37924,0.44488814,1.8241855
data\blues\blues.00020.wav,blues,-230.42657,127.100525,7.1453543,39.784317,1.9449425,17.40534,-5.6394286,8.25213,-18.104385,13.842513,-3.760913,2.5718598,-4.3208055,6.8123913,-6.1598387,-6.2154546,-4.5115924,-1.8506044,-0.53948647,1.504397,9.011649,4.4295306,6.2149224,-1.6452411,-0.41142687,-3.0033126,1.5931019,0.17300974,4.993978,0.5518397
data\blues\blues.00021.wav,blues,-264.67847,138.85834,11.156023,48.538254,14.895925,20.584368,3.2051423,1.2625881,-15.847021,15.986576,3.3616717,-1.513741,1.8921548,6.3119216,-0.994862,-2.4167242,-3.6847513,0.4993974,5.050747,-0.7867031,5.0169168,-0.14098947,-1.5651624,-1.0404779,3.0535064,-1.9827341,2.433931,2.3241081,0.09735636,0.2078798
data\blues\blues.00022.wav,blues,-233.85751,136.17209,3.2713184,48.931213,8.685134,13.97951,5.354868,0.39087018,-13.504575,16.856106,5.1309385,-2.23188,3.9640331,5.318362,0.8122657,-1.097914,-4.539752,-2.434786,3.313449,-0.6142794,7.0671306,3.0549421,0.57738334,0.6041531,2.7848527,-1.4458076,2.0438118,5.6110477,2.9372177,2.1086755
data\blues\blues.00023.wav,blues,-227.26886,137.7307,-14.493466,63.555702,5.612641,11.984639,1.885552,-1.8633765,-7.6205554,-2.4471745,-2.886725,-9.429529,-10.923913,3.562558,4.137706,0.09554388,-2.9725447,-1.378875,7.541176,-3.0374627,-5.8690825,-3.2556946,0.83528256,3.7315578,3.7055347,1.75643,-0.18940368,-4.299525,0.29012418,1.4659411
data\blues\blues.00024.wav,blues,-274.31186,130.41371,-6.3927994,70.405014,13.269141,9.461284,7.7256413,-1.2474908,-0.57758844,-2.3025885,3.783147,0.08482309,-0.939436,2.2965147,4.2883782,-1.6618618,-10.444594,-6.7975335,-1.0660518,-1.5959948,-1.1833355,-1.270293,2.486821,3.0607393,1.3598973,1.896316,-0.60758376,-1.5944372,5.495969,8.930596
data\blues\blues.00025.wav,blues,-249.2894,130.98703,0.67739,66.68578,17.897806,4.623737,6.5983076,1.2490499,1.4163896,-1.5791419,-0.9626631,-3.5719957,-2.9279816,4.596818,7.478901,-0.18313693,-2.8253267,-2.6788447,0.74854714,-0.5342603,-3.013124,0.9745231,1.4355257,1.5975336,2.9452617,1.3411973,-0.25703228,0.12686469,4.1778355,6.522879
data\blues\blues.00026.wav,blues,-284.69736,108.8052,9.088283,51.22274,18.091757,7.612261,8.779499,2.362829,0.005786246,2.250966,4.2050996,-3.293317,1.6082983,2.6657817,3.3244853,3.260079,-4.558311,0.47801903,5.9297876,3.2283406,1.8785926,1.3648264,2.4437714,0.6755579,-1.7828131,-1.415032,-1.34787,-1.876956,-2.5194733,-2.2802
data\blues\blues.00027.wav,blues,-228.25066,130.3444,-23.29129,70.1721,1.1422709,7.6024475,0.90993816,1.9782512,-6.167008,-9.396024,-2.5628405,-4.5228944,-0.26295036,0.17933396,-1.5074475,1.4652516,-6.9718475,-8.32218,4.2389526,0.98148614,2.6109023,1.5527147,0.10999402,-2.701053,-2.3527682,-0.29116553,-1.476094,-0.27165058,-0.15426078,-3.9425983
data\blues\blues.00028.wav,blues,-248.98674,139.0672,-16.2825,57.117985,20.192654,10.188038,4.5439763,0.3312792,-7.8779507,-3.4479153,-2.646489,-2.8313823,-0.9021665,-2.4017205,2.567503,-5.855444,-12.398049,-7.3100653,-0.94395065,-2.6873753,-2.9989293,-2.4182837,-0.8202371,1.1893005,0.73112303,-0.5808319,-3.1812923,-2.4007108,2.0960307,4.7608237
data\blues\blues.00029.wav,blues,-233.75082,101.178276,17.649767,23.733776,2.0820332,25.941923,-16.958849,15.098034,-22.278715,4.3951225,-23.207403,-6.057175,-5.068857,1.0673921,-5.785367,-8.311131,-11.389136,-6.72795,-10.025586,-14.032895,-13.941642,-12.283794,-15.634611,-17.248882,-7.6295185,-11.211274,-7.338371,-12.709406,-6.594499,-7.4224057
data\blues\blues.00030.wav,blues,-206.96808,117.792984,23.23588,28.297827,-1.1239153,18.862036,-21.949682,17.849985,-25.585644,2.129925,-17.794416,-8.015903,-17.607277,-8.139437,-8.648127,-15.528326,-15.317337,-9.66383,-10.0986805,-17.833735,-6.5358405,-6.573338,-12.748006,-12.207887,-8.993254,-12.406386,-5.7777634,-11.53472,-6.61128,-7.0931935
data\blues\blues.00031.wav,blues,-221.83113,110.83949,18.616821,30.920137,3.295923,22.587362,-20.41635,12.118737,-26.350498,-4.3674846,-26.413198,-13.045098,-12.654766,-1.8243434,-7.258695,-6.661085,-14.686605,-11.720062,-11.023768,-13.388401,-15.678537,-15.303345,-13.755701,-16.177986,-5.245714,-11.313874,-9.472084,-14.032243,-6.3295355,-2.2054145
data\blues\blues.00032.wav,blues,-288.8077,105.89604,18.777039,23.710392,5.711881,25.549088,-13.47376,12.428972,-11.942034,1.5714257,-15.635912,-6.6506157,-11.713253,-2.9383888,-7.3725796,-15.697483,-10.9741535,-10.8895445,-18.505476,-19.103352,-8.7455845,-10.344914,-15.0033865,-17.338306,-11.288121,-6.713057,-3.6895514,-5.6880546,-4.632819,-8.340748
data\blues\blues.00033.wav,blues,-239.03807,108.6572,34.15189,30.23917,-0.47574335,27.292637,-21.379398,14.150509,-24.510178,-1.8840461,-28.050291,-11.256651,-16.47693,-7.637184,-12.799123,-15.357241,-13.729804,-7.3977776,-10.089319,-13.291538,-8.918517,-11.164578,-14.153515,-15.473669,-8.666998,-8.834945,-1.4173043,-9.866647,-6.2561884,-8.978189
data\blues\blues.00034.wav,blues,-217.23868,105.792366,15.617069,25.256382,-1.4402744,30.18982,-17.71522,17.318172,-27.209528,4.339167,-20.059492,-10.695945,-14.220667,-5.1562176,-3.473266,-6.189413,-15.326929,-6.845921,-9.82767,-13.943093,-13.6964855,-15.133722,-11.581716,-13.277816,-4.772482,-6.9542136,-5.558409,-13.965386,-11.705408,-6.395062
data\blues\blues.00035.wav,blues,-171.8102,120.280624,15.327537,21.09045,-5.4192963,24.189465,-24.138222,18.551981,-22.348904,1.3031775,-20.763931,-4.988852,-17.118925,-7.886534,-15.308929,-9.351315,-8.913866,-8.525089,-14.333635,-19.933723,-14.498195,-4.4419794,-6.3487387,-13.986056,-15.103284,-18.514864,-9.775942,-7.230635,0.018112702,4.388187
data\blues\blues.00036.wav,blues,-200.19609,116.34013,18.00621,25.31356,0.29173443,24.192478,-22.255909,11.186425,-26.848732,-7.6384597,-24.889929,-12.015526,-17.017954,-8.120277,-11.956443,-12.609149,-14.181589,-8.206693,-15.028046,-10.327059,-10.426639,-12.870199,-11.825806,-17.595095,-9.03984,-8.078135,-0.29591224,-6.738208,-3.2581837,-4.518498
data\blues\blues.00037.wav,blues,-328.68088,102.71113,19.895552,26.732681,7.151481,22.704803,-6.9743266,12.781994,-10.7257805,-0.43366092,-12.373165,-8.907054,-9.2401085,-9.106373,-9.001113,-7.6363454,-7.1891537,-9.366816,-4.469685,-3.6831248,-1.0677594,-2.6156683,-11.536373,-19.0343,-13.699348,-4.615658,-0.20253581,-7.204218,-8.91061,-11.242503
data\blues\blues.00038.wav,blues,-192.69382,111.18816,21.37331,26.392143,-0.64837533,23.48088,-25.470797,16.924429,-16.979984,5.79015,-25.725246,-5.045352,-17.632244,-7.9208665,-15.150279,-12.345927,-17.235107,-7.7819333,-13.04201,-17.948872,-8.518192,-4.9490137,-11.519487,-10.183083,-8.140699,-17.347979,-5.1230803,-9.571379,1.0048898,5.366616
data\blues\blues.00039.wav,blues,-301.70715,111.53472,21.896408,16.14818,8.19624,22.085075,-8.614955,1.4815574,-17.084373,-8.345809,-17.013063,-10.57562,-15.689096,-12.605565,-12.253903,-14.553243,-10.102509,-5.7855344,-7.775144,-7.1861963,-6.5239363,-6.2194705,-12.392348,-16.332365,-11.469442,-12.742511,-3.4855835,-6.5372853,-7.460697,-7.5735884
data\blues\blues.00040.wav,blues,-110.284325,90.705605,-2.5283113,74.052734,-11.746768,39.214577,-13.1743,20.531588,-17.167608,12.827254,-21.434446,5.952132,-8.032604,4.243276,-16.482643,6.545287,-5.693636,-3.6378522,-4.857603,1.8532673,-5.4875617,-4.6801963,-0.97741985,1.8332816,2.888276,0.600009,-2.7085197,-2.9986565,-2.9550529,-4.849667
data\blues\blues.00041.wav,blues,-107.18975,88.47057,-4.177788,55.48549,-8.01038,38.416542,-6.402575,28.576523,-19.820787,13.252739,-19.239792,12.076225,-4.583088,3.789716,-16.9937,11.624961,-7.362244,-3.6578155,-7.1791234,1.9747294,-1.8481313,-0.7360205,3.151773,4.2956624,-1.195123,-3.9126294,-10.61235,-3.9238687,-2.1862586,-0.38536826
data\blues\blues.00042.wav,blues,-159.56772,69.78482,-4.3918796,76.851135,3.9159083,45.16753,-4.867353,32.200516,-9.796341,7.812512,-21.826967,9.682441,-2.5915892,3.3045378,-14.970442,10.232261,-4.08953,-5.8507586,-2.4700005,6.6611314,3.7075763,-10.246476,-6.6826673,-5.4414244,-2.3651266,-1.8085495,-1.6036187,-1.6623344,-6.1309886,-4.093412
data\blues\blues.00043.wav,blues,-109.195,100.62705,-8.620549,47.36422,-6.559237,39.620792,-8.523994,29.564737,-16.583515,13.170685,-24.20932,6.5919027,-8.641899,4.917566,-15.442783,1.5376118,-6.739273,1.4151819,-3.9658139,3.2878773,0.018798899,-0.2930475,-1.1389226,-2.145837,-2.7829275,-1.3716098,-6.0278974,-2.628545,1.710193,-2.3864188
data\blues\blues.00044.wav,blues,-109.53234,86.9265,-8.6249895,64.4895,-6.306035,43.64582,-8.293103,28.546427,-14.081592,8.136635,-21.490427,11.0866165,-5.0944676,3.9787722,-12.864777,12.342427,0.020585535,-0.7392383,-5.130451,3.3071313,-0.53564334,-6.3173194,-2.9046483,-0.7827648,-3.9420726,-3.0772753,-6.9452205,-4.205111,-5.238766,-0.6502008
data\blues\blues.00045.wav,blues,-163.24313,89.78489,12.977459,80.69248,3.6667745,39.74513,-5.4003787,26.49867,-13.163736,2.7070134,-20.552906,6.0071893,-2.908132,-0.43483505,-17.545372,4.1541677,-5.9900985,-7.8620358,-8.565295,1.8571713,-1.1085702,-7.0141153,-3.7923405,-6.253027,-2.5730948,-5.92257,-6.9644213,-5.9094434,-2.993216,-5.060863
data\blues\blues.00046.wav,blues,-182.66501,90.68653,14.118146,67.55459,2.6876106,38.431614,-8.420627,24.123554,-13.787512,4.8449693,-16.676622,5.823079,-5.149289,0.19378856,-14.486603,6.864802,-4.444831,-2.9868777,-4.8211694,5.399324,-1.1535887,-4.6451936,-4.4017105,-1.5543901,-0.09372775,-0.7109966,-3.4011953,-4.0029225,-4.2062287,-5.094525
data\blues\blues.00047.wav,blues,-149.97588,93.640755,6.3362436,71.51115,-8.113178,36.21202,-9.784973,17.641598,-21.119003,-0.12590314,-22.200989,5.435663,-7.4677796,-4.3329644,-12.409764,9.624794,-5.02424,-3.706313,2.3359404,4.162244,2.0230525,-6.7766333,1.9622389,2.00508,-2.0746238,-0.9067872,-4.965382,-5.8948574,-7.465297,-6.8621626
data\blues\blues.00048.wav,blues,-106.34815,102.64147,-20.172258,59.375206,-9.9672785,33.70612,-14.182175,23.516733,-13.329085,16.026072,-18.923178,7.8317666,-7.8003836,4.0504375,-11.348732,2.0717623,-5.7422748,0.46529788,-1.9167938,-3.1317525,-7.8732615,-2.8136275,3.5248382,0.8987557,1.4428486,-3.4406505,-8.376188,-4.6948724,0.6156724,-0.93127954
data\blues\blues.00049.wav,blues,-255.97383,110.82752,21.460573,67.588135,4.288312,43.11846,-4.508348,10.442597,-8.718592,1.6548898,-20.587791,-2.430674,-7.144061,-11.172763,-12.612459,2.7417226,-8.942421,-7.9461575,-2.3538342,-0.71479535,1.5618297,-5.935918,0.44184777,-0.6937608,0.197759,1.3144841,-3.9491735,-4.8852925,-0.6164703,-1.1753867
data\blues\blues.00050.wav,blues,-83.00168,107.06744,-25.32368,57.122074,0.081298664,34.708904,-11.047215,20.53328,-11.220151,14.839782,-10.229966,12.542858,-9.772626,2.560521,-6.298749,3.0084887,-8.717001,-0.32524624,-2.9847343,0.7146168,-0.727547,6.9045563,2.3230743,-1.4856552,-1.0355937,-3.9847295,2.063857,0.8937788,-0.32672933,-1.8766145
data\blues\blues.00051.wav,blues,-55.59663,114.9512,-37.06935,64.90438,-7.164943,15.254703,-16.23533,18.643576,-9.752286,21.46539,-5.6520977,12.78424,-16.537031,3.797079,-7.8952417,8.47764,-4.067899,3.2060173,-5.1801424,-1.2800465,0.47795427,3.4287102,-1.1295173,0.2938728,-0.33311954,-4.645253,1.4737769,-1.7478557,-3.1398487,-1.485034
data\blues\blues.00052.wav,blues,-225.30031,117.64152,-14.544607,64.80238,12.931657,19.029236,10.688534,9.883125,-2.382837,11.688008,1.5453439,3.0493672,-7.628483,-8.961092,-4.351271,-0.06528475,-2.5532408,-3.436927,-3.8674524,1.3170226,3.7119277,-3.5770347,-4.84364,-1.1377115,-1.545574,-0.4819013,9.401857,3.2200637,-3.4187133,-3.1272624
data\blues\blues.00053.wav,blues,-76.75777,105.77048,-43.208836,60.950108,-8.791271,21.246782,-12.877674,18.621216,-11.3991165,14.550057,-6.057422,12.74034,-9.374367,1.3606244,-3.6204464,7.0045776,-4.063001,-0.26885954,-3.7049413,-0.49661157,0.16649294,0.66451293,0.36703974,4.2455306,3.9661589,1.1685114,6.2195764,-0.7212653,-1.3940504,0.9168149
data\blues\blues.00054.wav,blues,-58.0011,109.01412,-36.218388,64.04036,1.4301567,26.315119,-17.482681,20.431017,-9.543072,18.177134,-6.057144,13.878273,-11.2975645,4.668999,-6.410602,3.2177243,-8.079231,-1.7114851,-5.424766,-2.5814133,-2.2237363,3.1003318,0.47753567,2.4268413,0.7903293,-1.726544,1.6791247,-3.6278863,-4.763314,-3.9650054
data\blues\blues.00055.wav,blues,-98.69757,104.80117,-35.10867,60.695045,-2.8393273,22.231003,-7.8374567,19.03072,-11.578804,17.021759,-5.3873515,12.199111,-9.960819,0.35878807,-4.2613454,6.1379223,-4.8302402,1.4995238,-1.494247,3.5056384,3.2774994,1.5452988,-1.9652032,0.54890496,-0.9241473,-1.7105784,7.655696,1.8138388,-0.66555476,0.5887627
data\blues\blues.00056.wav,blues,-145.42918,102.859566,-12.5421295,56.96205,2.2472627,26.607046,-4.2670345,17.337631,-7.9970355,15.232125,-6.937478,7.4603834,-10.468326,-2.3522398,-6.785084,2.668579,-4.7798715,-0.94475675,0.030942699,-2.0021632,-0.4284221,2.7476997,-1.6227759,-2.8204854,-2.0511963,-5.604547,4.8941126,0.2347824,-3.5880482,-1.0190319
data\blues\blues.00057.wav,blues,-92.76854,115.340775,-35.060043,57.853596,1.8453195,26.61206,-14.544862,22.132044,-8.207086,11.007707,-5.6440935,7.2728615,-10.202147,1.3271272,-4.106722,0.97495973,-6.550568,-0.6835875,-2.125002,-1.5218054,-1.5679096,1.2941726,-0.46828124,-3.13113,-1.5342171,-4.509235,1.9821864,-2.807516,-2.8685458,-2.3764744
data\blues\blues.00058.wav,blues,-95.45586,105.22937,-26.962673,60.836983,-4.847295,21.54521,-13.523774,12.135234,-20.232872,12.151344,-5.229753,10.264026,-9.45371,3.8617477,-10.19307,3.5859,-3.0982797,0.20068094,0.8410299,-3.420522,-3.999199,6.3633766,4.5804787,2.3256056,5.701461,-0.14780834,3.3590121,0.21314833,-0.39287704,0.36529312
data\blues\blues.00059.wav,blues,-86.25098,91.9421,-23.4035,68.2495,-3.8901277,22.742178,-9.895618,16.891766,-11.393833,18.429016,-7.011848,10.766728,-11.93729,1.0025737,-5.922303,5.314186,-6.139845,1.9491451,-5.0979905,-0.66548777,-0.49479473,1.0684962,-0.8523396,1.9233811,3.2549047,-2.1303594,8.21075,0.3732947,-4.3529315,0.07241396
data\blues\blues.00060.wav,blues,-67.805534,111.709366,-34.657303,61.34179,0.045181323,30.571093,-12.704326,21.166828,-13.13489,16.2878,-6.343271,12.295478,-12.483006,1.6834177,-5.1477942,4.646902,-6.9180565,1.048274,-4.7390194,-0.6583496,-0.7893041,3.7353709,-1.0110649,1.7837576,-0.5874331,-4.474767,3.0227256,-1.0742832,-4.1540327,-2.077584
data\blues\blues.00061.wav,blues,-82.485886,94.17034,-27.139208,75.66252,-27.529984,35.589035,-20.298962,25.121317,-15.379855,11.346788,-13.402289,8.153384,-8.504352,8.285465,-10.359801,-3.460236,-5.226153,-2.5910985,-8.365252,-6.978115,-0.20467384,-6.138711,-1.2571908,-1.2975339,-2.6545336,-2.221263,-0.8465471,-4.1520767,-0.8203212,-3.464907
data\blues\blues.00062.wav,blues,-144.99365,95.742805,-21.61032,49.62971,-29.898346,29.358599,-18.849941,17.890139,-9.674273,5.5135674,-9.5545635,6.3690124,-21.091816,2.459829,-9.537454,-1.4153433,-9.326942,5.140728,-8.113004,-2.449215,2.0007772,-7.8929505,-5.0666647,-6.202022,-4.4924655,-6.1164584,-3.7520766,-5.3601007,-3.2671628,-9.626857
data\blues\blues.00063.wav,blues,-129.11397,72.11977,-7.7658463,49.26091,-32.721977,21.608433,-27.37464,15.002842,-10.258776,12.437438,-17.034569,7.118173,-18.020405,2.9276602,-14.486263,4.0620627,-14.537421,7.2582917,-8.20802,-1.9981062,-3.7730088,-4.117711,-6.2749944,0.19129543,-2.969922,-1.9348842,-3.9714077,-4.6597753,0.98010594,-8.431896
data\blues\blues.00064.wav,blues,-85.17353,88.81205,-16.331642,59.223236,-35.993603,14.391535,-22.306257,9.651897,-14.823916,11.181605,-14.808832,8.478196,-19.59089,6.4134293,-13.782541,6.1157637,-13.154796,3.934137,-7.6171,3.7527044,-3.0058033,-0.41872418,-6.153738,3.985813,-1.4015542,-0.99637246,-3.5927355,2.590481,0.2109841,-6.3738165
data\blues\blues.00065.wav,blues,-118.37033,74.86732,-19.869467,46.947586,-32.569054,23.835136,-26.374111,17.692514,-13.826244,11.946739,-17.88878,7.555982,-22.900585,4.764417,-12.797208,5.6202664,-14.7387495,6.6824026,-9.169973,-2.2361934,-3.9915817,-6.2625017,-4.027716,0.8360575,-2.0192091,2.9053218,0.5940292,0.23739325,1.8212903,-3.4774182
data\blues\blues.00066.wav,blues,-116.546364,97.444626,-13.895614,48.974854,-22.594566,27.76544,-20.240068,18.63935,-14.6516695,8.481434,-16.655897,11.001678,-13.869425,9.742047,-5.09433,2.6373725,-9.890765,6.1601152,-7.6891356,-4.8510084,-3.032552,-4.6494813,-3.9173403,-1.4134231,-0.876493,0.0921227,0.88034254,-4.4050293,-1.9194582,-1.6535051
data\blues\blues.00067.wav,blues,-95.46325,101.38038,-20.697004,48.66807,-30.27181,20.812763,-18.313585,14.146872,-12.79889,13.44428,-14.0782,7.732656,-19.232273,2.8622494,-9.816176,6.9179144,-11.309343,8.943026,-2.960888,-0.97386485,-2.672533,-1.824529,-5.1295304,0.075306125,0.120782696,-1.500658,-3.6917214,-5.858888,-1.5177273,-7.1961045
